Survey,QuestionId,Question,QuestionType,Profile Characteristic,Note
2,27,The job allows me to complete work I start.,1,task identity,
2,28,"The work activities themselves provide direct and clear information about the effectiveness (e.g., quality and quantity) of my performance.",1,feedback from job,
2,29,The job itself provides feedback on my performance.,1,feedback from job,
2,30,The job itself provides me with information about my performance.,1,feedback from job,
2,31,The job requires that I only do one task or activity at a time.,1,job complexity,
2,32,The tasks of the job are simple and uncomplicated.,1,job complexity,
2,33,The job comprises relatively uncomplicated tasks.,1,job complexity,
2,34,The job involves performing relatively simple tasks.,1,job complexity,
2,35,The job requires me to monitor a great deal of information.,1,information processing,
2,36,The job requires that I engage in a large amount of thinking.,1,information processing,
2,37,The job requires me to keep track of more than one thing at a time.,1,information processing,
2,38,The job requires me to analyze a lot of information.,1,information processing,
2,39,The job involves solving problems that have no obvious correct answer.,1,problem solving,
2,40,The job requires me to be creative.,1,problem solving,
2,41,The job often involves dealing with problems that I have not met before.,1,problem solving,
2,42,The job requires unique ideas or solutions to problems.,1,problem solving,
2,43,The job requires a variety of skills.,1,skill variety,
2,44,The job requires me to utilize a variety of different skills in order to complete the work.,1,skill variety,
2,45,The job requires me to use a number of complex or high-level skills.,1,skill variety,
2,46,The job requires the use of a number of skills.,1,skill variety,
2,47,"The job is highly specialized in terms of purpose, tasks, or activities.",1,specialization,
2,48,"The tools, procedures, materials, and so forth used in this job are highly specialized in terms of purpose.",1,specialization,
2,49,The job requires very specialized knowledge and skills.,1,specialization,
2,50,The job requires a depth of knowledge and expertise.,1,specialization,
2,51,I have the opportunity to develop close friendships in this job.,1,social support,
2,52,I have the chance in this job to get to know other people.,1,social support,
2,53,I have the opportunity to meet with others in this job.,1,social support,
2,54,My group leader is concerned about the welfare of the people in the research group.,1,social support,
2,55,People I work with take a personal interest in me.,1,social support,
2,56,People I work with are friendly.,1,social support,
2,57,The job requires me to accomplish my work before others complete their work.,1,initiated interdependence,
2,58,Other jobs depend directly on my job.,1,initiated interdepenence,
2,59,"Unless my job gets done, other jobs cannot be completed.",1,initiated interdependence,
2,60,My research activities are greatly affected by the work of other people.,1,received interdependence,
2,61,The research project depends on the work of many different people for its completion.,1,received interdependence,
2,62,My work cannot be done unless others do their work.,1,received interdependence,
2,63,The job requires spending a great deal of time with people outside my research group.,1,interaction outside research group,
2,64,The job involves interaction with people who are not members of my research group.,1,interaction outside research group,
2,65,"In this job, I frequently communicate with people who do not work in the same research group as I do.",1,interaction outside research group,
2,66,The job involves a great deal of interaction with people outside my research group.,1,interaction outside research group,
2,67,I receive a great deal of information from my project leader and peers about my work performance.,1,feedback from others,
2,68,"Other people in the research group, such as group leader and peers, provide information about the effectiveness (e.g., quality and quantity) of my work performance.",1,feedback from others,
2,69,I receive feedback on my performance from other people in my group (such as my project leader or peers).,1,feedback from others,
2,70,I receive a great deal of information from my group leader about my work performance.,1,faculty/project leader feedback,
2,71,"My group leader provides information about the effectiveness (e.g., quality and quantity) of my work performance.",1,faculty/projecdt leader feedback,
2,72,I receive feedback on my performance from my group leader.,1,faculty/project leader feedback,
2,73,I receive a great deal of information from other students in my group about my work performance.,1,peer feedback,
2,74,"Other students in the research group provide information about the effectiveness (e.g., quality and quantity) of my work performance.",1,peer feedback,
2,75,I receive feedback on my performance from other students in my group.,1,peer feedback,
2,76,"The seating arrangements in my research space are adequate (e.g., ample opportunities to sit, comfortable chairs, good postural support).",1,ergonomics,
2,77,"The research space allows for all size differences between people in terms of clearance, reach, eye height, legroom, etc.",1,ergonomics,
2,78,The job involves excessive reaching.,1,ergonomics,
2,79,The job requires a great deal of muscular endurance.,1,physical demands,
2,80,The job requires a great deal of muscular strength.,1,physical demands,
2,81,The job requires a lot of physical effort.,1,physical demands,
2,82,The research space is free from excessive noise.,1,work conditions,
2,83,The climate in the research space is comfortable in terms of temperature and humidity.,1,work conditions,
2,84,The job has a low risk of accident.,1,work conditions,
2,85,"The job takes place in an environment free from health hazards (e.g., chemicals, fumes, etc.).",1,work conditions,
2,86,The job occurs in a clean environment.,1,work conditions,
2,87,The job involves the use of a variety of different equipment.,1,equipment use,
2,88,The job involves the use of complex equipment or technology.,1,equipment use,
2,89,A lot of time was required to learn the equipment used in the job.,1,equipment use,
